"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","Get Product Instance Graph","Assurdly | Receiver API","Sun May 04 20:13:43 GMT 2025","passed","Sun May 04 20:13:43 GMT 2025","","Product Instances","",""
"","343","Total Events Count","Assurdly | Receiver API","Sun May 04 20:13:41 GMT 2025","passed","Sun May 04 20:13:42 GMT 2025","","Events Records","",""
"","193","Read Notification","Assurdly | Receiver API","Sun May 04 20:13:36 GMT 2025","passed","Sun May 04 20:13:37 GMT 2025","Notification","Home","",""
"","256","Notifications","Assurdly | Receiver API","Sun May 04 20:13:36 GMT 2025","passed","Sun May 04 20:13:36 GMT 2025","Notification","Home","",""
"","403","Total Event","Assurdly | Receiver API","Sun May 04 20:13:40 GMT 2025","passed","Sun May 04 20:13:40 GMT 2025","","Events Records","",""
"","382","Get Product Instance","Assurdly | Receiver API","Sun May 04 20:13:42 GMT 2025","passed","Sun May 04 20:13:42 GMT 2025","","Product Instances","",""
"","364","Participant Detail","Assurdly | Receiver API","Sun May 04 20:13:37 GMT 2025","passed","Sun May 04 20:13:37 GMT 2025","participant","Home","",""
"","337","Get label","Assurdly | Receiver API","Sun May 04 20:13:50 GMT 2025","passed","Sun May 04 20:13:51 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","634","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 04 20:13:45 GMT 2025","failed","Sun May 04 20:13:46 GMT 2025","","Shared With Government","",""
"","493","Get activity numbers - No auth","Assurdly | Receiver API","Sun May 04 20:13:53 GMT 2025","passed","Sun May 04 20:13:53 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","607","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 04 20:13:43 GMT 2025","failed","Sun May 04 20:13:44 GMT 2025","","Product Instances","",""
"","194","Read Notification - Invalid Notification id","Assurdly | Receiver API","Sun May 04 20:13:37 GMT 2025","failed","Sun May 04 20:13:37 GMT 2025","Notification","Home","",""
"","343","Get producer record receiving","Assurdly | Receiver API","Sun May 04 20:13:52 GMT 2025","passed","Sun May 04 20:13:53 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","253","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun May 04 20:13:36 GMT 2025","passed","Sun May 04 20:13:36 GMT 2025","Login","Authentication","",""
"","489","Get producer record receiving - No auth","Assurdly | Receiver API","Sun May 04 20:13:52 GMT 2025","passed","Sun May 04 20:13:52 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","486","Single event -No auth","Assurdly | Receiver API","Sun May 04 20:13:54 GMT 2025","passed","Sun May 04 20:13:54 GMT 2025","Single Event","Receiving Event","",""
"","342","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun May 04 20:13:51 GMT 2025","failed","Sun May 04 20:13:51 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","185","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun May 04 20:13:36 GMT 2025","failed","Sun May 04 20:13:36 GMT 2025","Login","Authentication","",""
"","345","get preference","Assurdly | Receiver API","Sun May 04 20:13:49 GMT 2025","passed","Sun May 04 20:13:49 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","351","Set uom Preference","Assurdly | Receiver API","Sun May 04 20:13:38 GMT 2025","passed","Sun May 04 20:13:38 GMT 2025","Preference","Home","",""
"","397","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun May 04 20:13:44 GMT 2025","passed","Sun May 04 20:13:44 GMT 2025","","Shared With Government","",""
"","352","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun May 04 20:13:38 GMT 2025","failed","Sun May 04 20:13:39 GMT 2025","Preference","Home","",""
"","287","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun May 04 20:13:45 GMT 2025","broken","Sun May 04 20:13:45 GMT 2025","","Shared With Government","",""
"","368","Get sites","Assurdly | Receiver API","Sun May 04 20:13:46 GMT 2025","passed","Sun May 04 20:13:46 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","622","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Sun May 04 20:13:39 GMT 2025","failed","Sun May 04 20:13:40 GMT 2025","Stats","Dashboard","",""
"","489","get config types -No auth","Assurdly | Receiver API","Sun May 04 20:13:49 GMT 2025","passed","Sun May 04 20:13:49 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","489","Get tooltip - No auth","Assurdly | Receiver API","Sun May 04 20:13:48 GMT 2025","passed","Sun May 04 20:13:48 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","492","Get sites - No auth","Assurdly | Receiver API","Sun May 04 20:13:46 GMT 2025","passed","Sun May 04 20:13:46 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","485","get preference -No auth","Assurdly | Receiver API","Sun May 04 20:13:49 GMT 2025","passed","Sun May 04 20:13:50 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","262","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Sun May 04 20:13:36 GMT 2025","passed","Sun May 04 20:13:36 GMT 2025","Login","Authentication","",""
"","195","Tour Status","Assurdly | Receiver API","Sun May 04 20:13:37 GMT 2025","passed","Sun May 04 20:13:37 GMT 2025","Tour","Home","",""
"","342","get config types","Assurdly | Receiver API","Sun May 04 20:13:48 GMT 2025","passed","Sun May 04 20:13:49 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","615","Dashboard Filter","Assurdly | Receiver API","Sun May 04 20:13:39 GMT 2025","passed","Sun May 04 20:13:39 GMT 2025","Stats","Dashboard","",""
"","343","Get tooltip","Assurdly | Receiver API","Sun May 04 20:13:47 GMT 2025","passed","Sun May 04 20:13:48 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","341","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun May 04 20:13:51 GMT 2025","failed","Sun May 04 20:13:52 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","347","Get activity numbers","Assurdly | Receiver API","Sun May 04 20:13:53 GMT 2025","passed","Sun May 04 20:13:53 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","341","Get Preference - Empty Fields","Assurdly | Receiver API","Sun May 04 20:13:50 GMT 2025","failed","Sun May 04 20:13:50 GMT 2025","Receiving > Get Preference","Receiving Event","",""
