"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Jun 08 20:11:13 GMT 2025","failed","Sun Jun 08 20:11:13 GMT 2025","","Product Instances","",""
"","225","Get uom Preference","Assurdly | Producer API","Sun Jun 08 20:11:04 GMT 2025","failed","Sun Jun 08 20:11:04 GMT 2025","Preference","Home","",""
"","218","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 08 20:11:17 GMT 2025","passed","Sun Jun 08 20:11:17 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","121","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Jun 08 20:11:02 GMT 2025","failed","Sun Jun 08 20:11:02 GMT 2025","Login","Authentication","",""
"","230","Get all config types","Assurdly | Producer API","Sun Jun 08 20:11:15 GMT 2025","passed","Sun Jun 08 20:11:15 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","230","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:16 GMT 2025","failed","Sun Jun 08 20:11:16 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","220","Get Total Event Empty Field","Assurdly | Producer API","Sun Jun 08 20:11:14 GMT 2025","failed","Sun Jun 08 20:11:14 GMT 2025","","Events","",""
"","225","Get Preference - Get Labels -","Assurdly | Producer API","Sun Jun 08 20:11:16 GMT 2025","failed","Sun Jun 08 20:11:16 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","226","Get Analysis Manufacturers","Assurdly | Producer API","Sun Jun 08 20:11:18 GMT 2025","passed","Sun Jun 08 20:11:18 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","238","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Jun 08 20:11:08 GMT 2025","passed","Sun Jun 08 20:11:08 GMT 2025","","Shared With Government","",""
"","221","Get product brand category","Assurdly | Producer API","Sun Jun 08 20:11:11 GMT 2025","passed","Sun Jun 08 20:11:11 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","227","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:19 GMT 2025","passed","Sun Jun 08 20:11:19 GMT 2025","Single Event","Analysis Event","",""
"","315","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Sun Jun 08 20:11:18 GMT 2025","passed","Sun Jun 08 20:11:19 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","224","Get Preference","Assurdly | Producer API","Sun Jun 08 20:11:15 GMT 2025","passed","Sun Jun 08 20:11:16 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","307","Create Single Event - No Auth","Assurdly | Producer API","Sun Jun 08 20:11:13 GMT 2025","passed","Sun Jun 08 20:11:13 GMT 2025","Single Event","Transformation Event","",""
"","312","Get FQS Invalid Field","Assurdly | Producer API","Sun Jun 08 20:11:20 GMT 2025","passed","Sun Jun 08 20:11:20 GMT 2025","","FQS","",""
"","225","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:10 GMT 2025","failed","Sun Jun 08 20:11:11 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","276","Create Single Event","Assurdly | Producer API","Sun Jun 08 20:11:12 GMT 2025","failed","Sun Jun 08 20:11:13 GMT 2025","Single Event","Transformation Event","",""
"","349","Get Sites","Assurdly | Producer API","Sun Jun 08 20:11:09 GMT 2025","passed","Sun Jun 08 20:11:09 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","231","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun Jun 08 20:11:13 GMT 2025","failed","Sun Jun 08 20:11:14 GMT 2025","","Product Instances","",""
"","310","Get manufacturers - No auth","Assurdly | Producer API","Sun Jun 08 20:11:12 GMT 2025","passed","Sun Jun 08 20:11:12 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","223","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Jun 08 20:11:03 GMT 2025","failed","Sun Jun 08 20:11:03 GMT 2025","Notification","Home","",""
"","224","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun Jun 08 20:11:17 GMT 2025","passed","Sun Jun 08 20:11:18 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","265","Get Dashboard Filter","Assurdly | Producer API","Sun Jun 08 20:11:07 GMT 2025","passed","Sun Jun 08 20:11:08 GMT 2025","Overview > Stats","Dashboard","",""
