"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Total Event","Assurdly | Government APIs","Sun Jun 08 20:09:39 GMT 2025","passed","Sun Jun 08 20:09:39 GMT 2025","","Events Records","",""
"","217","Get Tooltips","Assurdly | Government APIs","Sun Jun 08 20:09:35 GMT 2025","passed","Sun Jun 08 20:09:35 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","223","Creating Analysis Event","Assurdly | Government APIs","Sun Jun 08 20:09:38 GMT 2025","failed","Sun Jun 08 20:09:38 GMT 2025","Single Event","Analysis Event","",""
"","217","Get Analysis Product Ids","Assurdly | Government APIs","Sun Jun 08 20:09:37 GMT 2025","passed","Sun Jun 08 20:09:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","271","Get Producer Activity","Assurdly | Government APIs","Sun Jun 08 20:09:32 GMT 2025","passed","Sun Jun 08 20:09:33 GMT 2025","","Participant Activity","",""
"","223","Dashboard Filter","Assurdly | Government APIs","Sun Jun 08 20:09:31 GMT 2025","failed","Sun Jun 08 20:09:32 GMT 2025","Stats","Dashboard","",""
"","213","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun Jun 08 20:09:36 GMT 2025","failed","Sun Jun 08 20:09:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","222","Set Preference","Assurdly | Government APIs","Sun Jun 08 20:09:31 GMT 2025","failed","Sun Jun 08 20:09:31 GMT 2025","Preference > Set UOM Preference","Home","",""
"","271","Get Sites","Assurdly | Government APIs","Sun Jun 08 20:09:34 GMT 2025","passed","Sun Jun 08 20:09:34 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","266","Get Product Instance List","Assurdly | Government APIs","Sun Jun 08 20:09:33 GMT 2025","passed","Sun Jun 08 20:09:33 GMT 2025","","Product Instances","",""
"","132","Participant Details","Assurdly | Government APIs","Sun Jun 08 20:09:31 GMT 2025","failed","Sun Jun 08 20:09:31 GMT 2025","participant","Home","",""
