"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","454","Tour Status","Assurdly | Producer API","Sun Jun 01 20:11:25 GMT 2025","passed","Sun Jun 01 20:11:25 GMT 2025","Tour","Home","",""
"","285","Get Share FQS","Assurdly | Producer API","Sun Jun 01 20:11:47 GMT 2025","failed","Sun Jun 01 20:11:48 GMT 2025","","FQS","",""
"","287","Get Preference","Assurdly | Producer API","Sun Jun 01 20:11:41 GMT 2025","passed","Sun Jun 01 20:11:41 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","289","Get Total Event Empty Field","Assurdly | Producer API","Sun Jun 01 20:11:39 GMT 2025","failed","Sun Jun 01 20:11:40 GMT 2025","","Events","",""
"","282","Get Labels - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:42 GMT 2025","failed","Sun Jun 01 20:11:43 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","283","Get Labels","Assurdly | Producer API","Sun Jun 01 20:11:34 GMT 2025","passed","Sun Jun 01 20:11:34 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","279","Set uom Preference","Assurdly | Producer API","Sun Jun 01 20:11:27 GMT 2025","failed","Sun Jun 01 20:11:27 GMT 2025","Preference","Home","",""
"","288","Creating Analysis Event","Assurdly | Producer API","Sun Jun 01 20:11:45 GMT 2025","failed","Sun Jun 01 20:11:46 GMT 2025","Single Event","Analysis Event","",""
"","283","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Jun 01 20:11:26 GMT 2025","failed","Sun Jun 01 20:11:26 GMT 2025","Notification","Home","",""
"","285","Get Tooltips","Assurdly | Producer API","Sun Jun 01 20:11:42 GMT 2025","passed","Sun Jun 01 20:11:42 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","284","Get all config types","Assurdly | Producer API","Sun Jun 01 20:11:33 GMT 2025","passed","Sun Jun 01 20:11:33 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","412","Get FQS Invalid Field","Assurdly | Producer API","Sun Jun 01 20:11:47 GMT 2025","passed","Sun Jun 01 20:11:47 GMT 2025","","FQS","",""
"","282","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Jun 01 20:11:38 GMT 2025","failed","Sun Jun 01 20:11:38 GMT 2025","","Product Instances","",""
"","290","Get Analysis Product Ids","Assurdly | Producer API","Sun Jun 01 20:11:44 GMT 2025","passed","Sun Jun 01 20:11:44 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","388","Create Single Event","Assurdly | Producer API","Sun Jun 01 20:11:37 GMT 2025","failed","Sun Jun 01 20:11:37 GMT 2025","Single Event","Transformation Event","",""
"","397","Get product brand category - No auth","Assurdly | Producer API","Sun Jun 01 20:11:36 GMT 2025","passed","Sun Jun 01 20:11:36 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","399","Get Total Event","Assurdly | Producer API","Sun Jun 01 20:11:39 GMT 2025","passed","Sun Jun 01 20:11:39 GMT 2025","","Events","",""
"","293","Participant Details","Assurdly | Producer API","Sun Jun 01 20:11:25 GMT 2025","passed","Sun Jun 01 20:11:25 GMT 2025","participant","Home","",""
"","152","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Sun Jun 01 20:11:24 GMT 2025","failed","Sun Jun 01 20:11:25 GMT 2025","Login","Authentication","",""
"","398","Get Product Instance Graph","Assurdly | Producer API","Sun Jun 01 20:11:39 GMT 2025","passed","Sun Jun 01 20:11:39 GMT 2025","","Product Instances","",""
"","290","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Jun 01 20:11:32 GMT 2025","passed","Sun Jun 01 20:11:33 GMT 2025","","Shared With Government","",""
"","286","Get transform outprod","Assurdly | Producer API","Sun Jun 01 20:11:35 GMT 2025","passed","Sun Jun 01 20:11:36 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","285","Get Preference","Assurdly | Producer API","Sun Jun 01 20:11:33 GMT 2025","passed","Sun Jun 01 20:11:34 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","284","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Jun 01 20:11:46 GMT 2025","passed","Sun Jun 01 20:11:46 GMT 2025","Single Event","Analysis Event","",""
"","284","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Jun 01 20:11:43 GMT 2025","failed","Sun Jun 01 20:11:43 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","279","Set uom Preference - Empty Value","Assurdly | Producer API","Sun Jun 01 20:11:27 GMT 2025","failed","Sun Jun 01 20:11:28 GMT 2025","Preference","Home","",""
