"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","823","Login - Valid Credentials","Assurdly | Producer API","Fri Apr 25 18:47:37 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","Login","Authentication","",""
"","224","Get all config types","Assurdly | Producer API","Fri Apr 25 18:47:45 GMT 2025","passed","Fri Apr 25 18:47:45 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","232","Set uom Preference","Assurdly | Producer API","Fri Apr 25 18:47:40 GMT 2025","passed","Fri Apr 25 18:47:40 GMT 2025","Preference","Home","",""
"","121","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","failed","Fri Apr 25 18:47:38 GMT 2025","Login","Authentication","",""
"","244","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri Apr 25 18:47:45 GMT 2025","passed","Fri Apr 25 18:47:45 GMT 2025","","Shared With Government","",""
"","345","Notifications","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","failed","Fri Apr 25 18:47:39 GMT 2025","Notification","Home","",""
"","312","Get FQS Invalid Field","Assurdly | Producer API","Fri Apr 25 18:47:56 GMT 2025","passed","Fri Apr 25 18:47:56 GMT 2025","","FQS","",""
"","232","Creating Analysis Event","Assurdly | Producer API","Fri Apr 25 18:47:55 GMT 2025","failed","Fri Apr 25 18:47:55 GMT 2025","Single Event","Analysis Event","",""
"","228","Get uom Preference","Assurdly | Producer API","Fri Apr 25 18:47:40 GMT 2025","failed","Fri Apr 25 18:47:40 GMT 2025","Preference","Home","",""
"","229","Get Share FQS","Assurdly | Producer API","Fri Apr 25 18:47:56 GMT 2025","failed","Fri Apr 25 18:47:57 GMT 2025","","FQS","",""
"","246","Participant Details","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","participant","Home","",""
"","232","Get Product Instance Invalid Field","Assurdly | Producer API","Fri Apr 25 18:47:49 GMT 2025","failed","Fri Apr 25 18:47:49 GMT 2025","","Product Instances","",""
"","224","Get Share FQS Invalid Field","Assurdly | Producer API","Fri Apr 25 18:47:57 GMT 2025","passed","Fri Apr 25 18:47:57 GMT 2025","","FQS","",""
"","226","Get Company Type","Assurdly | Producer API","Fri Apr 25 18:47:53 GMT 2025","passed","Fri Apr 25 18:47:53 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","225","Get Tooltips","Assurdly | Producer API","Fri Apr 25 18:47:46 GMT 2025","passed","Fri Apr 25 18:47:46 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","228","Read Notification - Invalid Notification id","Assurdly | Producer API","Fri Apr 25 18:47:39 GMT 2025","failed","Fri Apr 25 18:47:39 GMT 2025","Notification","Home","",""
"","306","Get Total Event","Assurdly | Producer API","Fri Apr 25 18:47:50 GMT 2025","passed","Fri Apr 25 18:47:50 GMT 2025","","Events","",""
"","1430","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri Apr 25 18:47:42 GMT 2025","passed","Fri Apr 25 18:47:43 GMT 2025","Overview > Stats","Dashboard","",""
"","223","Get Preference","Assurdly | Producer API","Fri Apr 25 18:47:45 GMT 2025","passed","Fri Apr 25 18:47:46 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","282","Get Product Instance List","Assurdly | Producer API","Fri Apr 25 18:47:49 GMT 2025","passed","Fri Apr 25 18:47:49 GMT 2025","","Product Instances","",""
"","230","Set uom Preference - Empty Value","Assurdly | Producer API","Fri Apr 25 18:47:40 GMT 2025","passed","Fri Apr 25 18:47:40 GMT 2025","Preference","Home","",""
"","227","Get Analysis Manufacturers","Assurdly | Producer API","Fri Apr 25 18:47:54 GMT 2025","passed","Fri Apr 25 18:47:54 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","250","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Fri Apr 25 18:47:44 GMT 2025","passed","Fri Apr 25 18:47:44 GMT 2025","","Shared With Government","",""
"","316","Read Notification - No Authorisation","Assurdly | Producer API","Fri Apr 25 18:47:39 GMT 2025","passed","Fri Apr 25 18:47:40 GMT 2025","Notification","Home","",""
"","164","Tour Status","Assurdly | Producer API","Fri Apr 25 18:47:38 GMT 2025","passed","Fri Apr 25 18:47:38 GMT 2025","Tour","Home","",""
"","315","Get product brand category - No auth","Assurdly | Producer API","Fri Apr 25 18:47:48 GMT 2025","passed","Fri Apr 25 18:47:48 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","289","Get Product Shared Government Count","Assurdly | Producer API","Fri Apr 25 18:47:44 GMT 2025","passed","Fri Apr 25 18:47:44 GMT 2025","","Shared With Government","",""
"","224","Get Preference - Get Labels -","Assurdly | Producer API","Fri Apr 25 18:47:52 GMT 2025","failed","Fri Apr 25 18:47:52 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","224","Get Company Type","Assurdly | Producer API","Fri Apr 25 18:47:47 GMT 2025","passed","Fri Apr 25 18:47:47 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","1723","Get Dashboard Statistics","Assurdly | Producer API","Fri Apr 25 18:47:40 GMT 2025","passed","Fri Apr 25 18:47:42 GMT 2025","Overview > Stats","Dashboard","",""
"","225","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:54 GMT 2025","passed","Fri Apr 25 18:47:54 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","226","Get Total Events Count Empty Field","Assurdly | Producer API","Fri Apr 25 18:47:51 GMT 2025","failed","Fri Apr 25 18:47:51 GMT 2025","","Events","",""
"","229","Get product brand category","Assurdly | Producer API","Fri Apr 25 18:47:47 GMT 2025","passed","Fri Apr 25 18:47:48 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","224","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Fri Apr 25 18:47:54 GMT 2025","passed","Fri Apr 25 18:47:54 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","227","Get Analysis Product Ids","Assurdly | Producer API","Fri Apr 25 18:47:54 GMT 2025","passed","Fri Apr 25 18:47:54 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","229","Get transform outprod","Assurdly | Producer API","Fri Apr 25 18:47:47 GMT 2025","passed","Fri Apr 25 18:47:47 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","229","Get Preference","Assurdly | Producer API","Fri Apr 25 18:47:51 GMT 2025","passed","Fri Apr 25 18:47:52 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","224","Get Tooltips","Assurdly | Producer API","Fri Apr 25 18:47:52 GMT 2025","passed","Fri Apr 25 18:47:52 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","269","Get Dashboard Filter","Assurdly | Producer API","Fri Apr 25 18:47:43 GMT 2025","passed","Fri Apr 25 18:47:44 GMT 2025","Overview > Stats","Dashboard","",""
