"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","187","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","passed","Fri Apr 11 18:46:59 GMT 2025","Login","Authentication","",""
"","281","Notifications","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","passed","Fri Apr 11 18:47:00 GMT 2025","Notification","Home","",""
"","496","Tour Status","Assurdly | Government APIs","Fri Apr 11 18:47:00 GMT 2025","passed","Fri Apr 11 18:47:00 GMT 2025","Tour","Home","",""
"","336","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Fri Apr 11 18:47:07 GMT 2025","passed","Fri Apr 11 18:47:07 GMT 2025","Analysis Manufacturers","Event","",""
"","178","Token","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","passed","Fri Apr 11 18:46:59 GMT 2025","Token","Authentication","",""
"","343","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 11 18:47:07 GMT 2025","passed","Fri Apr 11 18:47:07 GMT 2025","Analysis Instance Ids","Event","",""
"","342","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Fri Apr 11 18:47:08 GMT 2025","passed","Fri Apr 11 18:47:08 GMT 2025","Single Event","Event","",""
"","343","Get Preference - Empty Fields","Assurdly | Government APIs","Fri Apr 11 18:47:04 GMT 2025","failed","Fri Apr 11 18:47:04 GMT 2025","Analysis > Get Preference","Event","",""
"","354","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 11 18:47:05 GMT 2025","passed","Fri Apr 11 18:47:05 GMT 2025","Analysis Manufactureres","Event","",""
"","183","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","failed","Fri Apr 11 18:46:59 GMT 2025","Login","Authentication","",""
"","13","New Request Copy","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","broken","Fri Apr 11 18:46:59 GMT 2025","Token","Authentication","",""
"","342","Get Preference - Get Labels -","Assurdly | Government APIs","Fri Apr 11 18:47:04 GMT 2025","failed","Fri Apr 11 18:47:05 GMT 2025","Analysis > Get Preference","Event","",""
"","914","Login - Valid Credentials","Assurdly | Government APIs","Fri Apr 11 18:46:57 GMT 2025","passed","Fri Apr 11 18:46:58 GMT 2025","Login","Authentication","",""
"","481","Set UOM Preference","Assurdly | Government APIs","Fri Apr 11 18:47:01 GMT 2025","passed","Fri Apr 11 18:47:01 GMT 2025","Preference > Set UOM Preference","Home","",""
"","343","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Fri Apr 11 18:47:05 GMT 2025","passed","Fri Apr 11 18:47:06 GMT 2025","Analysis Manufactureres","Event","",""
"","341","Get Company Type","Assurdly | Government APIs","Fri Apr 11 18:47:05 GMT 2025","passed","Fri Apr 11 18:47:05 GMT 2025","Analysis > Get Company Type","Event","",""
"","339","Get Labels","Assurdly | Government APIs","Fri Apr 11 18:47:03 GMT 2025","passed","Fri Apr 11 18:47:03 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Event","",""
"","484","Get UOM Preference","Assurdly | Government APIs","Fri Apr 11 18:47:01 GMT 2025","passed","Fri Apr 11 18:47:01 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","259","Login - Invalid Credentials","Assurdly | Government APIs","Fri Apr 11 18:46:58 GMT 2025","passed","Fri Apr 11 18:46:59 GMT 2025","Login","Authentication","",""
"","338","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 11 18:47:06 GMT 2025","passed","Fri Apr 11 18:47:07 GMT 2025","Analysis Manufacturers","Event","",""
"","357","Get Sites","Assurdly | Government APIs","Fri Apr 11 18:47:01 GMT 2025","passed","Fri Apr 11 18:47:02 GMT 2025","Analysis > Get Sites","Event","",""
"","353","Creating Analysis Event","Assurdly | Government APIs","Fri Apr 11 18:47:07 GMT 2025","failed","Fri Apr 11 18:47:08 GMT 2025","Single Event","Event","",""
"","345","Get Tooltips","Assurdly | Government APIs","Fri Apr 11 18:47:02 GMT 2025","passed","Fri Apr 11 18:47:03 GMT 2025","Analysis > Get Tooltips","Event","",""
"","488","Participant Details","Assurdly | Government APIs","Fri Apr 11 18:47:00 GMT 2025","passed","Fri Apr 11 18:47:01 GMT 2025","Participant","Home","",""
"","13","New Request","Assurdly | Government APIs","Fri Apr 11 18:46:59 GMT 2025","broken","Fri Apr 11 18:46:59 GMT 2025","Token","Authentication","",""
