"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","282","Set uom Preference","Assurdly | Receiver API","Fri May 02 18:44:35 GMT 2025","passed","Fri May 02 18:44:35 GMT 2025","Preference","Home","",""
"","274","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Fri May 02 18:44:45 GMT 2025","failed","Fri May 02 18:44:46 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","390","Get tooltip - No auth","Assurdly | Receiver API","Fri May 02 18:44:43 GMT 2025","passed","Fri May 02 18:44:43 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","866","Total Event - Empty Fields","Assurdly | Receiver API","Fri May 02 18:44:37 GMT 2025","failed","Fri May 02 18:44:37 GMT 2025","","Events Records","",""
"","149","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Fri May 02 18:44:33 GMT 2025","failed","Fri May 02 18:44:33 GMT 2025","Login","Authentication","",""
"","545","Dashboard Filter","Assurdly | Receiver API","Fri May 02 18:44:35 GMT 2025","passed","Fri May 02 18:44:36 GMT 2025","Stats","Dashboard","",""
"","386","Get trading partner -No auth","Assurdly | Receiver API","Fri May 02 18:44:42 GMT 2025","passed","Fri May 02 18:44:43 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","282","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Fri May 02 18:44:46 GMT 2025","failed","Fri May 02 18:44:46 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","287","get preference","Assurdly | Receiver API","Fri May 02 18:44:44 GMT 2025","passed","Fri May 02 18:44:44 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","274","Get producer record receiving","Assurdly | Receiver API","Fri May 02 18:44:46 GMT 2025","passed","Fri May 02 18:44:47 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","280","Total Events Count","Assurdly | Receiver API","Fri May 02 18:44:37 GMT 2025","passed","Fri May 02 18:44:38 GMT 2025","","Events Records","",""
"","388","Get label - No auth","Assurdly | Receiver API","Fri May 02 18:44:45 GMT 2025","passed","Fri May 02 18:44:45 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","547","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 02 18:44:39 GMT 2025","failed","Fri May 02 18:44:40 GMT 2025","","Product Instances","",""
"","149","Read Notification - Invalid Notification id","Assurdly | Receiver API","Fri May 02 18:44:34 GMT 2025","failed","Fri May 02 18:44:34 GMT 2025","Notification","Home","",""
"","391","Get activity numbers - No auth","Assurdly | Receiver API","Fri May 02 18:44:47 GMT 2025","passed","Fri May 02 18:44:47 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","388","get config types -No auth","Assurdly | Receiver API","Fri May 02 18:44:43 GMT 2025","passed","Fri May 02 18:44:44 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","231","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Fri May 02 18:44:33 GMT 2025","passed","Fri May 02 18:44:33 GMT 2025","Login","Authentication","",""
"","183","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri May 02 18:44:40 GMT 2025","broken","Fri May 02 18:44:41 GMT 2025","","Shared With Government","",""
"","270","Get label","Assurdly | Receiver API","Fri May 02 18:44:45 GMT 2025","passed","Fri May 02 18:44:45 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","287","Set uom Preference - Empty Value","Assurdly | Receiver API","Fri May 02 18:44:35 GMT 2025","failed","Fri May 02 18:44:35 GMT 2025","Preference","Home","",""
"","308","Get Product Instance","Assurdly | Receiver API","Fri May 02 18:44:38 GMT 2025","passed","Fri May 02 18:44:38 GMT 2025","","Product Instances","",""
"","323","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 02 18:44:40 GMT 2025","failed","Fri May 02 18:44:40 GMT 2025","","Shared With Government","",""
"","324","Single event","Assurdly | Receiver API","Fri May 02 18:44:47 GMT 2025","passed","Fri May 02 18:44:48 GMT 2025","Single Event","Receiving Event","",""
"","548","Get Product Instance Graph","Assurdly | Receiver API","Fri May 02 18:44:39 GMT 2025","passed","Fri May 02 18:44:39 GMT 2025","","Product Instances","",""
"","386","get preference -No auth","Assurdly | Receiver API","Fri May 02 18:44:44 GMT 2025","passed","Fri May 02 18:44:45 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","294","Get sites","Assurdly | Receiver API","Fri May 02 18:44:41 GMT 2025","passed","Fri May 02 18:44:41 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","278","Get uom Preference","Assurdly | Receiver API","Fri May 02 18:44:34 GMT 2025","failed","Fri May 02 18:44:35 GMT 2025","Preference","Home","",""
"","309","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 02 18:44:38 GMT 2025","failed","Fri May 02 18:44:39 GMT 2025","","Product Instances","",""
"","574","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 02 18:44:41 GMT 2025","failed","Fri May 02 18:44:41 GMT 2025","","Shared With Government","",""
"","537","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Fri May 02 18:44:36 GMT 2025","failed","Fri May 02 18:44:36 GMT 2025","Stats","Dashboard","",""
"","392","Get sites - No auth","Assurdly | Receiver API","Fri May 02 18:44:41 GMT 2025","passed","Fri May 02 18:44:42 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","273","Get tooltip","Assurdly | Receiver API","Fri May 02 18:44:43 GMT 2025","passed","Fri May 02 18:44:43 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
