"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","Notifications","Assurdly | Government APIs","Sun May 25 20:09:15 GMT 2025","failed","Sun May 25 20:09:16 GMT 2025","Notification","Home","",""
"","239","Login - Invalid Credentials","Assurdly | Government APIs","Sun May 25 20:09:15 GMT 2025","passed","Sun May 25 20:09:15 GMT 2025","Login","Authentication","",""
"","284","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun May 25 20:09:27 GMT 2025","passed","Sun May 25 20:09:27 GMT 2025","Single Event","Analysis Event","",""
"","289","Creating Analysis Event","Assurdly | Government APIs","Sun May 25 20:09:26 GMT 2025","failed","Sun May 25 20:09:26 GMT 2025","Single Event","Analysis Event","",""
"","285","Total Events Count","Assurdly | Government APIs","Sun May 25 20:09:28 GMT 2025","passed","Sun May 25 20:09:28 GMT 2025","","Events Records","",""
"","283","Dashboard Filter","Assurdly | Government APIs","Sun May 25 20:09:17 GMT 2025","failed","Sun May 25 20:09:18 GMT 2025","Stats","Dashboard","",""
"","275","Tour Status","Assurdly | Government APIs","Sun May 25 20:09:16 GMT 2025","passed","Sun May 25 20:09:16 GMT 2025","Tour","Home","",""
"","345","Get Producer Activity","Assurdly | Government APIs","Sun May 25 20:09:19 GMT 2025","passed","Sun May 25 20:09:19 GMT 2025","","Participant Activity","",""
"","291","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 25 20:09:25 GMT 2025","passed","Sun May 25 20:09:25 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","285","Get Labels","Assurdly | Government APIs","Sun May 25 20:09:23 GMT 2025","passed","Sun May 25 20:09:23 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","285","Get Company Type","Assurdly | Government APIs","Sun May 25 20:09:24 GMT 2025","passed","Sun May 25 20:09:24 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","288","Get Analysis Product Ids","Assurdly | Government APIs","Sun May 25 20:09:24 GMT 2025","passed","Sun May 25 20:09:25 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","288","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 25 20:09:26 GMT 2025","passed","Sun May 25 20:09:26 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","279","Set uom Preference - Empty Value","Assurdly | Government APIs","Sun May 25 20:09:17 GMT 2025","failed","Sun May 25 20:09:17 GMT 2025","Preference > Set UOM Preference","Home","",""
"","289","Set Preference","Assurdly | Government APIs","Sun May 25 20:09:17 GMT 2025","failed","Sun May 25 20:09:17 GMT 2025","Preference > Set UOM Preference","Home","",""
"","287","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:25 GMT 2025","passed","Sun May 25 20:09:25 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","580","Total Event","Assurdly | Government APIs","Sun May 25 20:09:27 GMT 2025","passed","Sun May 25 20:09:27 GMT 2025","","Events Records","",""
"","295","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:26 GMT 2025","passed","Sun May 25 20:09:27 GMT 2025","Single Event","Analysis Event","",""
"","340","Get Sites","Assurdly | Government APIs","Sun May 25 20:09:21 GMT 2025","passed","Sun May 25 20:09:21 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","283","Total Events Count - Empty Fields","Assurdly | Government APIs","Sun May 25 20:09:28 GMT 2025","failed","Sun May 25 20:09:28 GMT 2025","","Events Records","",""
"","285","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun May 25 20:09:18 GMT 2025","failed","Sun May 25 20:09:18 GMT 2025","Stats","Dashboard","",""
"","282","Site Overview","Assurdly | Government APIs","Sun May 25 20:09:20 GMT 2025","passed","Sun May 25 20:09:21 GMT 2025","","Site Overview","",""
"","285","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun May 25 20:09:23 GMT 2025","failed","Sun May 25 20:09:24 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","158","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun May 25 20:09:15 GMT 2025","passed","Sun May 25 20:09:15 GMT 2025","Login","Authentication","",""
"","162","Read Notification","Assurdly | Government APIs","Sun May 25 20:09:16 GMT 2025","passed","Sun May 25 20:09:16 GMT 2025","Notification","Home","",""
"","164","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun May 25 20:09:16 GMT 2025","failed","Sun May 25 20:09:16 GMT 2025","Notification","Home","",""
