"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","234","Creating Analysis Event","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","failed","Wed May 14 18:48:48 GMT 2025","Single Event","Analysis Event","",""
"","246","Get Sites","Assurdly | Government APIs","Wed May 14 18:48:44 GMT 2025","passed","Wed May 14 18:48:44 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","225","Get Tooltips","Assurdly | Government APIs","Wed May 14 18:48:45 GMT 2025","passed","Wed May 14 18:48:45 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","232","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 14 18:48:46 GMT 2025","passed","Wed May 14 18:48:46 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","227","Get Company Type","Assurdly | Government APIs","Wed May 14 18:48:46 GMT 2025","passed","Wed May 14 18:48:46 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","229","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","passed","Wed May 14 18:48:48 GMT 2025","Single Event","Analysis Event","",""
"","233","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","passed","Wed May 14 18:48:48 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","231","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","passed","Wed May 14 18:48:48 GMT 2025","Single Event","Analysis Event","",""
"","227","Total Events Count","Assurdly | Government APIs","Wed May 14 18:48:49 GMT 2025","passed","Wed May 14 18:48:49 GMT 2025","","Events Records","",""
"","227","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 14 18:48:47 GMT 2025","passed","Wed May 14 18:48:47 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","228","Set Preference","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","failed","Wed May 14 18:48:41 GMT 2025","Preference > Set UOM Preference","Home","",""
"","272","Total Event","Assurdly | Government APIs","Wed May 14 18:48:48 GMT 2025","passed","Wed May 14 18:48:49 GMT 2025","","Events Records","",""
"","230","Get Labels - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:45 GMT 2025","failed","Wed May 14 18:48:46 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","230","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:47 GMT 2025","passed","Wed May 14 18:48:47 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","132","Read Notification - Invalid Notification id","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","failed","Wed May 14 18:48:40 GMT 2025","Notification","Home","",""
"","274","Get Product Instance List","Assurdly | Government APIs","Wed May 14 18:48:43 GMT 2025","passed","Wed May 14 18:48:43 GMT 2025","","Product Instances","",""
"","211","Login - Invalid Credentials","Assurdly | Government APIs","Wed May 14 18:48:39 GMT 2025","passed","Wed May 14 18:48:39 GMT 2025","Login","Authentication","",""
"","229","Get Preference - Get Labels -","Assurdly | Government APIs","Wed May 14 18:48:45 GMT 2025","failed","Wed May 14 18:48:45 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","165","Notifications","Assurdly | Government APIs","Wed May 14 18:48:39 GMT 2025","failed","Wed May 14 18:48:40 GMT 2025","Notification","Home","",""
"","319","Get Product Instance List Copy","Assurdly | Government APIs","Wed May 14 18:48:42 GMT 2025","passed","Wed May 14 18:48:42 GMT 2025","","Participant List","",""
"","314","Site Overview - No auth","Assurdly | Government APIs","Wed May 14 18:48:43 GMT 2025","passed","Wed May 14 18:48:44 GMT 2025","","Site Overview","",""
"","228","Total Events Count - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:49 GMT 2025","failed","Wed May 14 18:48:49 GMT 2025","","Events Records","",""
"","316","Get Product Instance List  - No Auth","Assurdly | Government APIs","Wed May 14 18:48:43 GMT 2025","passed","Wed May 14 18:48:43 GMT 2025","","Product Instances","",""
"","134","Read Notification","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","passed","Wed May 14 18:48:40 GMT 2025","Notification","Home","",""
"","224","Set uom Preference - Empty Value","Assurdly | Government APIs","Wed May 14 18:48:41 GMT 2025","failed","Wed May 14 18:48:41 GMT 2025","Preference > Set UOM Preference","Home","",""
"","134","Participant Details","Assurdly | Government APIs","Wed May 14 18:48:40 GMT 2025","failed","Wed May 14 18:48:40 GMT 2025","participant","Home","",""
"","232","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:46 GMT 2025","passed","Wed May 14 18:48:47 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","229","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Wed May 14 18:48:41 GMT 2025","failed","Wed May 14 18:48:41 GMT 2025","Stats","Dashboard","",""
"","233","Get Analysis Product Ids","Assurdly | Government APIs","Wed May 14 18:48:47 GMT 2025","passed","Wed May 14 18:48:47 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","269","Get Product Instance List","Assurdly | Government APIs","Wed May 14 18:48:41 GMT 2025","passed","Wed May 14 18:48:42 GMT 2025","","Participant List","",""
"","227","Site Overview","Assurdly | Government APIs","Wed May 14 18:48:43 GMT 2025","passed","Wed May 14 18:48:43 GMT 2025","","Site Overview","",""
"","234","Get all config types","Assurdly | Government APIs","Wed May 14 18:48:44 GMT 2025","passed","Wed May 14 18:48:44 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","127","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Wed May 14 18:48:39 GMT 2025","passed","Wed May 14 18:48:39 GMT 2025","Login","Authentication","",""
"","224","Dashboard Filter","Assurdly | Government APIs","Wed May 14 18:48:41 GMT 2025","failed","Wed May 14 18:48:41 GMT 2025","Stats","Dashboard","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","228","Total Event - Empty Fields","Assurdly | Government APIs","Wed May 14 18:48:49 GMT 2025","failed","Wed May 14 18:48:49 GMT 2025","","Events Records","",""
